review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
38881,2,CouchbaseBucket_6,0,0,0
38881,2,CouchbaseBucket_2,0,0,0
38881,2,CouchbaseBucket_8,0,0,0
38881,3,CouchbaseBucket_4.java,0,0,0
38881,3,ViewQueryMapper_12.java,0,0,0
38881,3,CouchbaseBucket_7_rev_2.java,0,0,0
38881,3,CouchbaseBucket_5.java,0,0,0
38881,3,CouchbaseBucket_3_rev_2.java,0,0,0
38881,3,CouchbaseBucket_8_rev_1.java,0,0,0
38881,3,CouchbaseBucket_6_rev_1.java,0,0,0
38881,4,CouchbaseBucket_4_rev_3.java,0,0,0
38881,4,ViewQueryMapper_12.java,0,0,0
38881,4,CouchbaseBucket_7_rev_2.java,0,0,0
38881,4,CouchbaseBucket_5_rev_3.java,0,0,0
38881,4,CouchbaseBucket_8_rev_1.java,0,0,0
38881,4,CouchbaseBucket_6_rev_3.java,0,0,0
38881,5,CouchbaseBucket_4_rev_3.java,0,0,0
38881,5,ViewQueryMapper_12.java,0,0,0
38881,5,CouchbaseBucket_7_rev_2.java,0,0,0
38881,5,CouchbaseBucket_5_rev_3.java,0,0,0
38881,5,CouchbaseBucket_3_rev_3.java,0,0,0
38881,5,CouchbaseBucket_8_rev_1.java,0,0,0
38881,5,CouchbaseBucket_6_rev_3.java,0,0,0
39110,1,CouchbaseBucket_2.java,0,0,0
39110,1,CouchbaseBucket_2.java,0,0,0
39110,1,CouchbaseBucket_2.java,0,0,0
39110,1,CouchbaseBucket_1.java,0,0,0
39110,2,CouchbaseBucket_2.java,0,0,0
39110,2,CouchbaseBucket_2.java,0,0,0
39110,2,CouchbaseBucket_2.java,0,0,0
39110,2,CouchbaseBucket_1.java,0,0,0
39485,1,CouchbaseBucket_4.java,0,0,0
39485,1,CouchbaseBucket_4.java,0,0,0
39485,1,CouchbaseBucket_4.java,0,0,0
39485,1,CouchbaseBucket_4.java,0,0,0
39485,1,BinaryTest_0.java,0,1,0
39485,1,BinaryTest_0.java,0,1,0
39485,1,CouchbaseBucket_5.java,0,0,0
39485,2,CouchbaseBucket_4.java,0,0,0
39485,2,CouchbaseBucket_4.java,0,0,0
39485,2,CouchbaseBucket_4.java,0,0,0
39485,2,CouchbaseBucket_4.java,0,0,0
39485,2,BinaryTest_0.java,0,1,0
39485,2,BinaryTest_0.java,0,1,0
39485,2,CouchbaseBucket_5.java,0,0,0
39485,3,CouchbaseBucket_4.java,0,0,0
39485,3,CouchbaseBucket_4.java,0,0,0
39485,3,CouchbaseBucket_4.java,0,0,0
39485,3,CouchbaseBucket_4.java,0,0,0
39485,3,BinaryTest_0.java,0,1,0
39485,3,BinaryTest_0.java,0,1,0
39485,3,CouchbaseBucket_5.java,0,0,0
39485,4,CouchbaseBucket_4.java,0,0,0
39485,4,CouchbaseBucket_4.java,0,0,0
39485,4,CouchbaseBucket_4.java,0,0,0
39485,4,CouchbaseBucket_4.java,0,0,0
39485,4,BinaryTest_0.java,0,1,0
39485,4,BinaryTest_0.java,0,1,0
39485,4,CouchbaseBucket_5.java,0,0,0
39528,1,BinaryTest_0.java,0,1,0
39528,1,CouchbaseBucket_1.java,0,0,0
39528,1,CouchbaseBucket_1.java,0,0,0
39528,1,CouchbaseBucket_1.java,0,0,0
39528,1,Observe_2.java,0,0,0
39528,1,Observe_2.java,0,0,0
39528,1,Observe_2.java,0,0,0
40296,1,CouchbaseBucket_2.java,0,0,0
40296,1,CouchbaseBucket_5.java,0,0,0
40296,1,CouchbaseBucket_9.java,0,0,0
40296,1,CouchbaseBucket_9.java,0,0,0
40296,1,CouchbaseBucket_9.java,0,0,0
40296,1,BinaryTest_1.java,0,1,0
