review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
714,3,RepositoriesView_1.java,0,0,1
714,3,RepositoriesView_1.java,0,0,1
714,3,RepositoriesView_4.java,0,0,0
714,3,RepositoriesView_4.java,0,0,0
714,4,RepositoriesView_1.java,0,0,1
714,4,RepositoriesView_1.java,0,0,1
714,4,RepositoriesView_1.java,0,0,1
714,4,RepositoriesView_1.java,0,0,1
714,4,RepositoriesView_1.java,0,0,1
714,4,RepositoriesView_4.java,0,0,0
714,4,RepositoriesView_4.java,0,0,0
724,1,BranchSelectionDialog_6.java,0,0,0
724,1,BranchSelectionDialog_6.java,0,0,0
724,1,BranchSelectionDialog_6.java,0,0,0
724,1,BranchSelectionDialog_7.java,1,0,0
724,1,BranchSelectionDialog_7.java,1,0,0
724,1,BranchSelectionDialog_4.java,1,0,0
724,1,BranchSelectionDialog_4.java,1,0,0
724,1,BranchSelectionDialog_5.java,1,0,0
724,1,BranchSelectionDialog_5.java,1,0,0
724,2,BranchSelectionDialog_6.java,0,0,0
724,2,BranchSelectionDialog_6.java,0,0,0
724,2,BranchSelectionDialog_6.java,0,0,0
724,2,BranchSelectionDialog_7.java,1,0,0
724,2,BranchSelectionDialog_7.java,1,0,0
724,2,BranchSelectionDialog_4_rev_1.java,1,0,0
724,2,BranchSelectionDialog_4_rev_1.java,1,0,0
724,2,BranchSelectionDialog_5.java,1,0,0
724,2,BranchSelectionDialog_5.java,1,0,0
724,3,BranchSelectionDialog_6.java,0,0,0
724,3,BranchSelectionDialog_6.java,0,0,0
724,3,BranchSelectionDialog_6.java,0,0,0
724,3,BranchSelectionDialog_7.java,1,0,0
724,3,BranchSelectionDialog_7.java,1,0,0
724,3,BranchSelectionDialog_4_rev_1.java,1,0,0
724,3,BranchSelectionDialog_4_rev_1.java,1,0,0
724,3,BranchSelectionDialog_5.java,1,0,0
724,3,BranchSelectionDialog_5.java,1,0,0
737,1,RepositorySearchDialog_4.java,0,0,0
737,1,RepositorySearchDialog_3.java,0,0,1
737,1,RepositorySearchDialog_5.java,0,0,0
737,1,RepositorySearchDialog_5.java,0,0,0
752,1,TagOperation_5.java,0,0,1
752,1,DiscardChangesOperation_2.java,0,0,1
752,1,ResetOperation_4.java,0,0,1
752,1,MergeOperation_3.java,0,0,1
752,1,CommitOperation_1.java,0,0,1
752,1,BranchOperation_0.java,0,0,1
776,1,RepositoriesView_7.java,0,0,0
